mission_time,target_altitude,current_altitude,error,velocity_cmd,control_action,height_sonar,height_baro,velocity_z_measured,battery,height_sonar_cal
0.0011096,1.5,0.48,1.02,1,CLIMB,0.48,-40.25,0,100,0.2208914678054964
0.053498745,1.5,0.48,1.02,1,CLIMB,0.48,-40.21,0,100,0.2208914678054964
0.106993198,1.5,0.48,1.02,1,CLIMB,0.48,-40.25,0,100,0.2208914678054964
0.159915924,1.5,0.48,1.02,1,CLIMB,0.48,-40.25,0,100,0.2208914678054964
0.202052832,1.5,0.48,1.02,1,CLIMB,0.48,-40.2,-0.01,100,0.2208914678054964
0.254501581,1.5,0.48,1.02,1,CLIMB,0.48,-40.2,-0.01,100,0.2208914678054964
0.307637453,1.5,0.5,1,1,CLIMB,0.5,-40.17,-0.03,100,0.2285106070120292
0.350081682,1.5,0.5,1,1,CLIMB,0.5,-40.17,-0.03,100,0.2285106070120292
0.402774572,1.5,0.55,0.95,1,CLIMB,0.55,-40.18,-0.05,100,0.2475584550283611
0.455773115,1.5,0.55,0.95,1,CLIMB,0.55,-40.18,-0.05,100,0.2475584550283611
0.508216858,1.5,0.6,0.9,1,CLIMB,0.6,-40.14,-0.07,100,0.266606303
0.550807238,1.5,0.6,0.9,1,CLIMB,0.6,-40.14,-0.07,100,0.266606303
0.603478432,1.5,0.6,0.9,1,CLIMB,0.6,-40.14,-0.07,100,0.266606303
0.656775236,1.5,0.68,0.82,1,CLIMB,0.68,-40.01,-0.08,100,0.2970828598708241
0.710312366,1.5,0.76,0.74,1,CLIMB,0.76,-39.91,-0.09,100,0.3275594166969552
0.753274202,1.5,0.76,0.74,1,CLIMB,0.76,-39.91,-0.09,100,0.3275594166969552
0.807890654,1.5,0.76,0.74,1,CLIMB,0.76,-39.91,-0.09,100,0.3275594166969552
0.851613283,1.5,0.85,0.65,1,CLIMB,0.85,-39.91,-0.09,100,0.36184554312635264
0.904548168,1.5,0.85,0.65,1,CLIMB,0.85,-39.91,-0.09,100,0.36184554312635264
0.958663464,1.5,0.94,0.56,1,CLIMB,0.94,-39.83,-0.09,100,0.39613166955575013
1.002711773,1.5,0.94,0.56,1,CLIMB,0.94,-39.83,-0.09,100,0.39613166955575013
1.056238174,1.5,1.04,0.46,1,CLIMB,1.04,-39.75,-0.1,100,0.434227366
1.110307217,1.5,1.04,0.46,1,CLIMB,1.04,-39.75,-0.1,100,0.434227366
1.153200388,1.5,1.14,0.36,1,CLIMB,1.14,-39.59,-0.1,100,0.4723230616210778
1.20595932,1.5,1.14,0.36,1,CLIMB,1.14,-39.59,-0.1,100,0.4723230616210778
1.258668184,1.5,1.24,0.26,1,CLIMB,1.24,-39.55,-0.1,100,0.5104187576537417
1.300265074,1.5,1.34,0.16,1,CLIMB,1.34,-39.44,-0.1,100,0.5485144536864056
1.354658127,1.5,1.34,0.16,1,CLIMB,1.34,-39.44,-0.1,100,0.5485144536864056
1.407631636,1.5,1.34,0.16,1,CLIMB,1.34,-39.44,-0.1,100,0.5485144536864056
1.450327396,1.5,1.5,0,0,HOLD,1.5,-39.31,-0.1,100,0.6094675673386678
1.50366807,1.5,1.5,0,0,HOLD,1.5,-39.31,-0.1,100,0.6094675673386678
1.557068825,1.5,1.59,-0.09,0,HOLD,1.59,-39.29,-0.1,100,0.6437536937680652
1.609817505,1.5,1.59,-0.09,0,HOLD,1.59,-39.29,-0.1,100,0.6437536937680652
1.652542114,1.5,1.68,-0.18,-0.8,DESCEND,1.68,-39.19,-0.09,100,0.6780398201974627
1.706437826,1.5,1.68,-0.18,-0.8,DESCEND,1.68,-39.19,-0.09,100,0.6780398201974627
1.750143051,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.12,-0.08,100,0.7123259466268602
1.803183556,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.12,-0.08,100,0.7123259466268602
1.857599974,1.5,1.83,-0.33,-0.8,DESCEND,1.83,-39.08,-0.05,100,0.7351833642464586
1.900110483,1.5,1.86,-0.36,-0.8,DESCEND,1.86,-39.05,-0.02,100,0.7466120730562577
1.954103231,1.5,1.86,-0.36,-0.8,DESCEND,1.86,-39.05,-0.02,100,0.7466120730562577
2.007637978,1.5,1.85,-0.35,-0.8,DESCEND,1.85,-39.01,0,100,0.7428025034529913
2.051817656,1.5,1.85,-0.35,-0.8,DESCEND,1.85,-39.01,0,100,0.7428025034529913
2.105401516,1.5,1.82,-0.32,-0.8,DESCEND,1.82,-39.06,0.03,100,0.7313737946431922
2.158778667,1.5,1.82,-0.32,-0.8,DESCEND,1.82,-39.06,0.03,100,0.7313737946431922
2.201830149,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.1,0.04,100,0.7161355162301266
2.255000353,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.1,0.04,100,0.7161355162301266
2.308230877,1.5,1.71,-0.21,-0.8,DESCEND,1.71,-39.12,0.05,100,0.6894685290072619
2.351999521,1.5,1.71,-0.21,-0.8,DESCEND,1.71,-39.12,0.05,100,0.6894685290072619
2.405580282,1.5,1.66,-0.16,-0.8,DESCEND,1.66,-39.16,0.06,100,0.6704206809909299
2.458683014,1.5,1.66,-0.16,-0.8,DESCEND,1.66,-39.16,0.06,100,0.6704206809909299
2.50097084,1.5,1.59,-0.09,0,HOLD,1.59,-39.25,0.07,100,0.6437536937680652
2.553865194,1.5,1.59,-0.09,0,HOLD,1.59,-39.25,0.07,100,0.6437536937680652
2.60769105,1.5,1.52,-0.02,0,HOLD,1.52,-39.26,0.07,100,0.6170867065452006
2.650605679,1.5,1.52,-0.02,0,HOLD,1.52,-39.26,0.07,100,0.6170867065452006
2.703233719,1.5,1.45,0.05,0,HOLD,1.45,-39.38,0.06,100,0.5904197193223358
2.757078409,1.5,1.45,0.05,0,HOLD,1.45,-39.38,0.06,100,0.5904197193223358
2.800169945,1.5,1.4,0.1,1,CLIMB,1.4,-39.39,0.04,100,0.5713718713060039
2.855113983,1.5,1.4,0.1,1,CLIMB,1.4,-39.39,0.04,100,0.5713718713060039
2.909126282,1.5,1.37,0.13,1,CLIMB,1.37,-39.46,0.03,100,0.5599431624962048
2.951608419,1.5,1.37,0.13,1,CLIMB,1.37,-39.46,0.03,100,0.5599431624962048
3.005218506,1.5,1.36,0.14,1,CLIMB,1.36,-39.39,0,100,0.5561335928929384
3.059038162,1.5,1.36,0.14,1,CLIMB,1.36,-39.39,0,100,0.5561335928929384
3.101489782,1.5,1.36,0.14,1,CLIMB,1.36,-39.39,0,100,0.5561335928929384
3.154622555,1.5,1.38,0.12,1,CLIMB,1.38,-39.32,-0.02,100,0.5637527320994711
3.209204674,1.5,1.38,0.12,1,CLIMB,1.38,-39.32,-0.02,100,0.5637527320994711
3.252779961,1.5,1.43,0.07,0,HOLD,1.43,-39.29,-0.04,100,0.58280058
3.307711363,1.5,1.43,0.07,0,HOLD,1.43,-39.29,-0.04,100,0.58280058
3.350425482,1.5,1.49,0.01,0,HOLD,1.49,-39.32,-0.06,100,0.6056579977354014
3.403561592,1.5,1.49,0.01,0,HOLD,1.49,-39.32,-0.06,100,0.6056579977354014
3.456362486,1.5,1.56,-0.06,0,HOLD,1.56,-39.21,-0.08,100,0.6323249849582661
3.509230852,1.5,1.56,-0.06,0,HOLD,1.56,-39.21,-0.08,100,0.6323249849582661
3.551537991,1.5,1.64,-0.14,-0.8,DESCEND,1.64,-39.19,-0.07,100,0.6628015417843971
3.605330944,1.5,1.64,-0.14,-0.8,DESCEND,1.64,-39.19,-0.07,100,0.6628015417843971
3.65887475,1.5,1.69,-0.19,-0.8,DESCEND,1.69,-39.12,-0.05,100,0.6818493898007291
3.701891184,1.5,1.69,-0.19,-0.8,DESCEND,1.69,-39.12,-0.05,100,0.6818493898007291
3.755222797,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.14,-0.03,100,0.6932780986105282
3.809711218,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.14,-0.03,100,0.6932780986105282
3.853150129,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.09,-0.01,100,0.700897238
3.906616926,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.09,-0.01,100,0.700897238
3.950503111,1.5,1.73,-0.23,-0.8,DESCEND,1.73,-39.15,0.01,100,0.6970876682137946
4.003483057,1.5,1.73,-0.23,-0.8,DESCEND,1.73,-39.15,0.01,100,0.6970876682137946
4.057351351,1.5,1.69,-0.19,-0.8,DESCEND,1.69,-39.11,0.03,100,0.6818493898007291
4.100655079,1.5,1.69,-0.19,-0.8,DESCEND,1.69,-39.11,0.03,100,0.6818493898007291
4.154152632,1.5,1.65,-0.15,-0.8,DESCEND,1.65,-39.17,0.05,100,0.6666111113876635
4.208277464,1.5,1.65,-0.15,-0.8,DESCEND,1.65,-39.17,0.05,100,0.6666111113876635
4.251523256,1.5,1.6,-0.1,-0.8,DESCEND,1.6,-39.3,0.06,100,0.6475632633713316
4.304655552,1.5,1.6,-0.1,-0.8,DESCEND,1.6,-39.3,0.06,100,0.6475632633713316
4.359137297,1.5,1.53,-0.03,0,HOLD,1.53,-39.27,0.06,100,0.620896276
4.403055191,1.5,1.53,-0.03,0,HOLD,1.53,-39.27,0.06,100,0.620896276
4.455046654,1.5,1.46,0.04,0,HOLD,1.46,-39.35,0.07,100,0.5942292889256022
4.50820899,1.5,1.46,0.04,0,HOLD,1.46,-39.35,0.07,100,0.5942292889256022
4.551404476,1.5,1.39,0.11,1,CLIMB,1.39,-39.4,0.07,100,0.5675623017027375
4.604645491,1.5,1.39,0.11,1,CLIMB,1.39,-39.4,0.07,100,0.5675623017027375
4.657182455,1.5,1.33,0.17,1,CLIMB,1.33,-39.34,0.05,100,0.5447048840831392
4.710083008,1.5,1.33,0.17,1,CLIMB,1.33,-39.34,0.05,100,0.5447048840831392
4.753795147,1.5,1.29,0.21,1,CLIMB,1.29,-39.48,0.03,100,0.5294666056700736
4.806923628,1.5,1.29,0.21,1,CLIMB,1.29,-39.48,0.03,100,0.5294666056700736
4.850875616,1.5,1.28,0.22,1,CLIMB,1.28,-39.44,0,100,0.5256570360668072
4.904581785,1.5,1.28,0.22,1,CLIMB,1.28,-39.44,0,100,0.5256570360668072
4.958278179,1.5,1.3,0.2,1,CLIMB,1.3,-39.38,-0.02,100,0.533276175
5.002155304,1.5,1.3,0.2,1,CLIMB,1.3,-39.38,-0.02,100,0.533276175
5.055615664,1.5,1.35,0.15,1,CLIMB,1.35,-39.36,-0.04,100,0.552324023
5.109133244,1.5,1.35,0.15,1,CLIMB,1.35,-39.36,-0.04,100,0.552324023
5.152423382,1.5,1.42,0.08,0,HOLD,1.42,-39.39,-0.06,100,0.5789910105125367
5.206820965,1.5,1.42,0.08,0,HOLD,1.42,-39.39,-0.06,100,0.5789910105125367
5.260023594,1.5,1.5,0,0,HOLD,1.5,-39.36,-0.08,100,0.6094675673386678
5.302825212,1.5,1.5,0,0,HOLD,1.5,-39.36,-0.08,100,0.6094675673386678
5.35552454,1.5,1.59,-0.09,0,HOLD,1.59,-39.27,-0.09,100,0.6437536937680652
5.409957409,1.5,1.59,-0.09,0,HOLD,1.59,-39.27,-0.09,100,0.6437536937680652
5.452852726,1.5,1.66,-0.16,-0.8,DESCEND,1.66,-39.19,-0.07,100,0.6704206809909299
5.505600452,1.5,1.66,-0.16,-0.8,DESCEND,1.66,-39.19,-0.07,100,0.6704206809909299
5.559114933,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.15,-0.06,100,0.6932780986105282
5.601957798,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.15,-0.06,100,0.6932780986105282
5.655155182,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.15,-0.06,100,0.6932780986105282
5.708639145,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.13,-0.04,100,0.7085163770235938
5.752158642,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.13,-0.04,100,0.7085163770235938
5.800664663,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.11,-0.01,100,0.7161355162301266
5.853067398,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.1,0.01,100,0.7123259466268602
5.905698776,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.1,0.01,100,0.7123259466268602
5.958150864,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.12,0.03,100,0.700897238
6.001231194,1.5,1.74,-0.24,-0.8,DESCEND,1.74,-39.12,0.03,100,0.700897238
6.056077719,1.5,1.7,-0.2,-0.8,DESCEND,1.7,-39.04,0.05,100,0.6856589594039955
6.110097885,1.5,1.7,-0.2,-0.8,DESCEND,1.7,-39.04,0.05,100,0.6856589594039955
6.15304637,1.5,1.64,-0.14,-0.8,DESCEND,1.64,-39.16,0.06,100,0.6628015417843971
6.206337929,1.5,1.64,-0.14,-0.8,DESCEND,1.64,-39.16,0.06,100,0.6628015417843971
6.2596066,1.5,1.57,-0.07,0,HOLD,1.57,-39.27,0.06,100,0.6361345545615325
6.302467823,1.5,1.57,-0.07,0,HOLD,1.57,-39.27,0.06,100,0.6361345545615325
6.356022358,1.5,1.51,-0.01,0,HOLD,1.51,-39.26,0.07,100,0.6132771369419342
6.409657478,1.5,1.51,-0.01,0,HOLD,1.51,-39.26,0.07,100,0.6132771369419342
6.451865435,1.5,1.51,-0.01,0,HOLD,1.51,-39.26,0.07,100,0.6132771369419342
6.505013466,1.5,1.43,0.07,0,HOLD,1.43,-39.4,0.07,100,0.58280058
6.558048487,1.5,1.38,0.12,1,CLIMB,1.38,-39.44,0.05,100,0.5637527320994711
6.600242138,1.5,1.38,0.12,1,CLIMB,1.38,-39.44,0.05,100,0.5637527320994711
6.652586222,1.5,1.34,0.16,1,CLIMB,1.34,-39.46,0.03,100,0.5485144536864056
6.705855131,1.5,1.34,0.16,1,CLIMB,1.34,-39.46,0.03,100,0.5485144536864056
6.758862734,1.5,1.32,0.18,1,CLIMB,1.32,-39.39,0.02,100,0.5408953144798728
6.802347422,1.5,1.32,0.18,1,CLIMB,1.32,-39.39,0.02,100,0.5408953144798728
6.856455564,1.5,1.31,0.19,1,CLIMB,1.31,-39.45,0,100,0.5370857448766064
6.900324583,1.5,1.31,0.19,1,CLIMB,1.31,-39.45,0,100,0.5370857448766064
6.956522465,1.5,1.34,0.16,1,CLIMB,1.34,-39.47,-0.02,100,0.5485144536864056
7.00928688,1.5,1.34,0.16,1,CLIMB,1.34,-39.47,-0.02,100,0.5485144536864056
7.052404881,1.5,1.38,0.12,1,CLIMB,1.38,-39.29,-0.05,100,0.5637527320994711
7.105604649,1.5,1.38,0.12,1,CLIMB,1.38,-39.29,-0.05,100,0.5637527320994711
7.159175396,1.5,1.44,0.06,0,HOLD,1.44,-39.29,-0.06,100,0.5866101497190694
7.201239824,1.5,1.44,0.06,0,HOLD,1.44,-39.29,-0.06,100,0.5866101497190694
7.254793882,1.5,1.53,-0.03,0,HOLD,1.53,-39.24,-0.08,100,0.620896276
7.309062243,1.5,1.53,-0.03,0,HOLD,1.53,-39.24,-0.08,100,0.620896276
7.35283041,1.5,1.62,-0.12,-0.8,DESCEND,1.62,-39.23,-0.08,100,0.6551824025778644
7.406541824,1.5,1.62,-0.12,-0.8,DESCEND,1.62,-39.23,-0.08,100,0.6551824025778644
7.460024357,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.17,-0.07,100,0.6932780986105282
7.502561808,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.17,-0.07,100,0.6932780986105282
7.556056261,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.12,-0.06,99,0.7161355162301266
7.609472752,1.5,1.78,-0.28,-0.8,DESCEND,1.78,-39.12,-0.06,99,0.7161355162301266
7.653577328,1.5,1.79,-0.29,-0.8,DESCEND,1.79,-39.06,-0.03,99,0.719945086
7.707174063,1.5,1.79,-0.29,-0.8,DESCEND,1.79,-39.06,-0.03,99,0.719945086
7.750394821,1.5,1.79,-0.29,-0.8,DESCEND,1.79,-39,0,99,0.719945086
7.804722309,1.5,1.79,-0.29,-0.8,DESCEND,1.79,-39,0,99,0.719945086
7.858724117,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.08,0.02,99,0.7123259466268602
7.901368856,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.08,0.02,99,0.7123259466268602
7.955245733,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.12,0.04,99,0.6932780986105282
8.008669853,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.12,0.04,99,0.6932780986105282
8.051996946,1.5,1.72,-0.22,-0.8,DESCEND,1.72,-39.12,0.04,99,0.6932780986105282
8.107002497,1.5,1.66,-0.16,-0.8,DESCEND,1.66,-39.09,0.05,99,0.6704206809909299
8.150057554,1.5,1.66,-0.16,-0.8,DESCEND,1.66,-39.09,0.05,99,0.6704206809909299
8.203983068,1.5,1.6,-0.1,-0.8,DESCEND,1.6,-39.14,0.06,99,0.6475632633713316
8.257139683,1.5,1.54,-0.04,0,HOLD,1.54,-39.27,0.06,99,0.6247058457517334
8.302788734,1.5,1.54,-0.04,0,HOLD,1.54,-39.27,0.06,99,0.6247058457517334
8.356739283,1.5,1.54,-0.04,0,HOLD,1.54,-39.27,0.06,99,0.6247058457517334
8.400165558,1.5,1.47,0.03,0,HOLD,1.47,-39.37,0.07,99,0.5980388585288686
8.453378201,1.5,1.47,0.03,0,HOLD,1.47,-39.37,0.07,99,0.5980388585288686
8.506211758,1.5,1.4,0.1,1,CLIMB,1.4,-39.38,0.07,99,0.5713718713060039
8.559385061,1.5,1.4,0.1,1,CLIMB,1.4,-39.38,0.07,99,0.5713718713060039
8.60128665,1.5,1.35,0.15,1,CLIMB,1.35,-39.35,0.05,99,0.552324023
8.654530764,1.5,1.35,0.15,1,CLIMB,1.35,-39.35,0.05,99,0.552324023
8.708014965,1.5,1.32,0.18,1,CLIMB,1.32,-39.35,0.03,99,0.5408953144798728
8.751412153,1.5,1.32,0.18,1,CLIMB,1.32,-39.35,0.03,99,0.5408953144798728
8.804602861,1.5,1.32,0.18,1,CLIMB,1.32,-39.39,0.01,99,0.5408953144798728
8.858251095,1.5,1.32,0.18,1,CLIMB,1.32,-39.39,0.01,99,0.5408953144798728
8.900874615,1.5,1.33,0.17,1,CLIMB,1.33,-39.41,-0.01,99,0.5447048840831392
8.953707457,1.5,1.33,0.17,1,CLIMB,1.33,-39.41,-0.01,99,0.5447048840831392
9.007293701,1.5,1.38,0.12,1,CLIMB,1.38,-39.42,-0.04,99,0.5637527320994711
9.050348759,1.5,1.38,0.12,1,CLIMB,1.38,-39.42,-0.04,99,0.5637527320994711
9.104479074,1.5,1.45,0.05,0,HOLD,1.45,-39.32,-0.06,99,0.5904197193223358
9.157670259,1.5,1.45,0.05,0,HOLD,1.45,-39.32,-0.06,99,0.5904197193223358
9.200881243,1.5,1.53,-0.03,0,HOLD,1.53,-39.09,-0.07,99,0.620896276
9.253452063,1.5,1.53,-0.03,0,HOLD,1.53,-39.09,-0.07,99,0.620896276
9.307130814,1.5,1.63,-0.13,-0.8,DESCEND,1.63,-39.14,-0.08,99,0.6589919721811307
9.351826668,1.5,1.63,-0.13,-0.8,DESCEND,1.63,-39.14,-0.08,99,0.6589919721811307
9.405291796,1.5,1.69,-0.19,-0.8,DESCEND,1.69,-39.09,-0.08,99,0.6818493898007291
9.458044767,1.5,1.69,-0.19,-0.8,DESCEND,1.69,-39.09,-0.08,99,0.6818493898007291
9.500460625,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.07,-0.07,99,0.7085163770235938
9.554354191,1.5,1.76,-0.26,-0.8,DESCEND,1.76,-39.07,-0.07,99,0.7085163770235938
9.607498646,1.5,1.79,-0.29,-0.8,DESCEND,1.79,-39,-0.04,98,0.719945086
9.651764154,1.5,1.79,-0.29,-0.8,DESCEND,1.79,-39,-0.04,98,0.719945086
9.706622839,1.5,1.8,-0.3,-0.8,DESCEND,1.8,-39.01,-0.01,98,0.7237546554366594
9.759836197,1.5,1.8,-0.3,-0.8,DESCEND,1.8,-39.01,-0.01,98,0.7237546554366594
9.801885128,1.5,1.77,-0.27,-0.8,DESCEND,1.77,-39.04,0.01,98,0.7123259466268602
